Content,Label
ዘረኛ ሰው ነው ስለሌላ ዘር ቀን ከለሊት ሲለፈልፍ የሚውለው  ዘረኛ መሆንን ነው እየነገርከን ያለሀው ፈሳም ሁላ,ጥላቻ
ዘፈኑ ጥሩ ነው አንድ ሆዳም አማራ ግን የትግራይን የሽንት ጨርቅ በረጅም ዱላ እያውለበለበ መከላቸው ይንጎራደዳል,ጥላቻ
ዛሬ ቅማላም ትግሬዎች በህዝባችን የተተፉና በገጀራ ዋጋቸውን የሚያገኙበት ቀን ሩቅ እንዳልሆነ የተገነዘቡበት ቀን ነው ብልጥ ከሆኑ ካሁኑ በሰላም ለምለሟን ምድራችንን ሊለቁ ይገባል,ጥላቻ
ዝባዝንኬ አንዳንድ ኤፍ ኤም ሬድዮ ጣቢያዎች ላይ የሚተላለፉ ሸርሙጣ ሸርሙጣ የሚሸቱ ፕሮግራሞች አሉ,ጥላቻ
የሀበሻ ምግብ ሂጄ ቅማላም ትግሬዎች ሲንጫጩ አበሸቁኝ እኛ በስንት ቀን አንድ ጊዜ የቀሙን ሀገራችንን,ጥላቻ
የሕዝብን ደም የረገጠ ወራዳ ሆዳም,ጥላቻ
የሆነ ሆዳም አጋሰስ ነገር ነው የባንዳ ርዝራዥ,ጥላቻ
የመን ውስጥ አንድ ቅማላም ትግሬ ልጅ አፍኖ ወስዶ ቶርች ስላደረገ እየተፈለገ ነው,ጥላቻ
የመጨረሻ ማስጠንቀቂያ ከአማራ ወጣትቶች ግብረሀይል ባህርዳር ይህ ሆዳም ወያኔ ነዋሪነቱ ቀበሌ አስራ ሶስት ነው በባህርዳር በከፍተኛ ፍርድ ቤት ይሰራል,ጥላቻ
የሙያ ስነምግባር የሚባለውን ሽጠዉ የበሉ ሆዳም ጥፋታዊ ጋዜጠኞች ናቸው,ጥላቻ
የሚመሩት በጭንቅላታቸው ሳይሆን ኮንዶን ለመስራት ከነሱ ቂጥ ስር ከሚያደገድጉት ሆዳም ኮተታም ካድሬዎችን ስለሆነ ነው,ጥላቻ
ፊንፊኔነት የወያኔ ቅማላም ትግሬ ስጦታ ሳይሆን የአያት የቅድመ አያቶቼ መሬት ነው እንጅ የማንም መድረሻ ያጣ ሰፋሪ መቶ ያበላሻት ሳትሆን ቋንቋ ባህልና ባለቤት የነበራት ከትማ ነች,ጥላቻ
የሚሰማኝ አጣሁ እንጂ ከነዚህ ቅማላሞች መካከል መልካም ሰው ማግኘት ቅዠት ነው የሰው ለጅ በሀገሩ እየታሰረ እየተገደለ እየተሰደደ ባለበት ሁኔታ ቅማላሞቹ ባቡር ይሰራልን ሲሉ ምን ማለት ነው ጠባብ ቅማላም ትግሬ ትግሬ ይገደል ትግሬ የሆነ ሁሉ ይውደም,ጥላቻ
የሚገርም ነው ይሄንን ቅማላም ትግሬ የጻፈውን ተመለከታችሁ የሚለው እንዲህ ነው አማራዎች ከኦሮሞና ከደቡብ ክልሎች ባስቸኳይ መውጣት አለባችሁ አማራዎች ለመዝረፍና ለመቀማት ነው የመጡት አማራ ይውደም ነፍጠኛ ይገደል ኦርቶዶክስ,ጥላቻ
የምድረ ቅማላም ትግሬና የአናሳ ብሄር ጥርቅም የሆነው ብሄራዊ ቡድን ተብየው ምንም አማራ ተጫዋች የለበትም የሚገርመው ደግሞ  ወደ ቸርች ሄደው ጸሎት ማድረጋቸው ነው,ጥላቻ
የስደተኛው ማስታወሻ ያውላችሁ ቶሎ ብላችሁ ዳውንሎድ አድርጉት ያ አዚማም ቅማላም ትግሬ ሪፖርት አድርጎ ሳያዘጋው,ጥላቻ
የተቃጠለ ፋብሪካ ለመጎብኘትና ሆዳም ባለሃብቶችን ለማፅናናት በሽ ጊዜ አለው አሰቃቂ አደጋ የደረሰበትን የኢሬቻ ስፍራ ለመጎብኘትና ጉዳት የደረሰባቸውን ዜጎች ለማየት ግን ጊዜ የለም,ጥላቻ
የተገላቢጦሽ ታሪክ ክፍል ኣራት እዩት አሁን ምን እያለ እንደሚፎክር ስሙት አይፈራም አይፈራም ጎበዝ ፈሳም ባንዳ የጣልያን ጫማ እየላሰ አልፈራም እያለ ይፎክራል,ጥላቻ
የተፈራው ደረሰ ወያኔ ከሳውዲ የሚያመጣቸውን አበሾች መምረጥ ጀመረ ቅድሚያ የሰጠው ለትግሬዎች ነው ትላንትናና ዛሬ የመጡት በሙሉ ቅማላም ትግሬዎች ብቻ ናቸው,ጥላቻ
የታባቱ ይሄ ቅማላም ትግሬ በሞተ ነገር ግን እኛ አማራዎች እስር ቤታችን አስገብተን ትንሽ በዱላ ሳንነርተው መሸብለሉ ቅር ይላል,ጥላቻ
የቴውድሮስ ልጆችና የሚኒሊክ ልጆች እንዴት በግብፅ ይሸነፋሉ ጋዜጠኛ ሳምሶን ማሞ ነው ይህንን የሚለን እንደዚህ አይነቱን ሆዳም ከምድረ ገፅ በማጥፋት ትግሉን አጭር ያደርገው ነበር,ጥላቻ
