Content,Label
ሌቦች የአብይን ፎቶ ከጀርባህ ለጥፈህ ትለፈልፋለህ አብይ ላይ ያለንም እምነት ወርዷል ሀዘኑን ሲአቀለን ቀሎብናል ወጡ እንዳማረላት ሴት ከኢሳያስ እና ግብፅ ጋር ይሞዳሞድ,ጥላቻ
ህዝቤ አንድ ቀን ትግሬን ይበቀላል ጊዜ ዳኛው ቶሎ ና,ጥላቻ
ህዝብን የጨርስህ ጅብ ነህ,ጥላቻ
ህገ መንግስታችን ይከበር ምድረ ጅቦች ሰው በላ ሁላ,ጥላቻ
ሆዳም ባንዳ,ጥላቻ
ሴቶች ለላዳና ለካፌ ብዙ ይከፍላሉ ምነው እኛጋ ሲመጡ አይከፍሉም ምድረ ሸርሙጣ,ጥላቻ
ለልመና የመጣ ካልሆነ ወልቃይት ላይ የሚኖር አማራ የለም ይሰማል ቡዳ እንቦጭ ሁላ እንኳን በፅሁፍ ሰማይ ላይ ብትደርሱ ወልቃይ አማራ አይሆንም,ጥላቻ
ለሙሰኞች ለሆድ አደሮች ለወያኔ ባለስልጣን የተዘጋጀ ገሀነም ነው በቅርብ ቀን ይቀቀሉበታል,ጥላቻ
ለማ ተግባር ላይ ገማ,ጥላቻ
ለምን መስቀል አደባባይ ሄደ እራስን ለማጥፈት ግዴታ እዛ መሆን አለበት እንዴ ወሬኞች ውሸታም ሁላ እራሱ ወያኔ ገድሎ እራሱን አጠፋ ትላላችሁ ቱልቱላ ሁላ,ጥላቻ
ለምን መቀሌ አላደረከውም መሀይም ለማኝ ወያኔ,ጥላቻ
ለምን የኢንጅነር ሚስት እውነቱን እንድትናገር ከታሰረችበት አይፈታትም ፓስተር አብይ የኢትዮጵያ ህዝብ ግን አይንህ ግለጥ,ጥላቻ
ለምን ጋሎች አይታጠቡም ለነገሩ ቢታጠቡም አጠሩም የአሳ ግማቱ ከአናቱ የጋላ ግማቱ,ጥላቻ
ለምን ጋሎች ከብቶቻችሁን አታስሩም እየበረገጉ ከተማውን,ጥላቻ
ልወጣ ነው የጋላ ወሬ ወይ አይጥም አፈዘዘኝ ወሬ ብቻ ተግባር የላችሁም,ጥላቻ
ምናምን እንትን የሚል ምንድነው ጋላ ጋላ,ጥላቻ
ሞት ለቄሮ ጋላ,ጥላቻ
ሞት እና ወተት ለጋላ,ጥላቻ
